PaperID,Title,Authors,Year,Venue,DOI,Domain,Keywords,Institution,Country,CitationCount,ReferencedBy,FundingAgency,Abstract,OpenAccess,CodeAvailable
P020,Inductive Representation Learning on Large Graphs (GraphSAGE),William L. Hamilton|Zhitao Ying|Jure Leskovec,2017,NeurIPS,10.48550/arXiv.1706.02216,Graph Learning,GraphSAGE|inductive learning|neighborhood aggregation|graph embedding,Stanford University,USA,18000,P019|P018,NSF|DARPA,We present GraphSAGE an inductive framework that leverages node feature information to efficiently generate node embeddings for previously unseen data.,Yes,Yes
P021,Analyzing and Improving the Image Quality of StyleGAN (StyleGAN2),Tero Karras|Samuli Laine|Miika Aittala|Janne Hellsten|Jaakko Lehtinen|Timo Aila,2020,CVPR,10.48550/arXiv.1912.04958,Generative Models,StyleGAN2|style-based generator|image synthesis|perceptual path length,NVIDIA,Finland,8200,P006|P013,NVIDIA,We redesign the StyleGAN generator to remove characteristic artifacts and improve overall image quality in high-resolution image synthesis.,Yes,Yes
P022,Mastering Atari Go Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm (AlphaZero),David Silver|Thomas Hubert|Julian Schrittwieser|Ioannis Antonoglou|Matthew Lai|Arthur Guez|Marc Lanctot,2018,Science,10.1126/science.aar6404,Reinforcement Learning,AlphaZero|self-play|general RL|chess|shogi|Go,DeepMind,UK,6500,P008|P009,DeepMind,Starting from random play and given no domain knowledge except the game rules AlphaZero achieves superhuman performance in chess shogi and Go.,No,No
P023,CLIP: Learning Transferable Visual Models From Natural Language Supervision,Alec Radford|Jong Wook Kim|Chris Hallacy|Aditya Ramesh|Gabriel Goh|Sandhini Agarwal|Amanda Askell,2021,ICML,10.48550/arXiv.2103.00020,Multi-modal Learning,CLIP|contrastive learning|zero-shot transfer|vision-language|natural language supervision,OpenAI,USA,19500,P007|P003,OpenAI,We demonstrate that pre-training on a wide variety of image-text pairs from the internet creates a versatile model applicable to many computer vision tasks.,Yes,Yes
P024,Constitutional AI: Harmlessness from AI Feedback,Yuntao Bai|Saurav Kadavath|Sandipan Kundu|Amanda Askell|Jackson Kernion|Andy Jones|Anna Chen|Anna Goldie,2022,arXiv,10.48550/arXiv.2212.08073,AI Safety,constitutional AI|RLHF|harmlessness|AI feedback|alignment,Anthropic,USA,2800,P016|P025,Anthropic,We propose Constitutional AI a method for training harmless AI assistants using a set of principles and AI-generated feedback for both supervised learning and RL.,Yes,No
P025,Direct Preference Optimization: Your Language Model is Secretly a Reward Model (DPO),Rafael Rafailov|Archit Sharma|Eric Mitchell|Stefano Ermon|Christopher D. Manning|Chelsea Finn,2023,NeurIPS,10.48550/arXiv.2305.18290,AI Safety,DPO|preference optimization|alignment|reward model|RLHF alternative,Stanford University,USA,4500,P016|P024,NSF|DARPA,We introduce DPO a stable efficient and computationally lightweight approach to fine-tuning large language models to follow human preferences.,Yes,Yes
P026,LLaMA: Open and Efficient Foundation Language Models,Hugo Touvron|Thibaut Lavril|Gautier Izacard|Xavier Martinet|Marie-Anne Lachaux|Timothée Lacroix|Baptiste Rozière,2023,arXiv,10.48550/arXiv.2302.13971,Natural Language Processing,LLaMA|open source|foundation model|efficient training,Meta AI,USA,9200,P003|P016,Meta AI Research,We introduce LLaMA a collection of foundation language models ranging from 7B to 65B parameters trained on trillions of tokens outperforming GPT-3 on many benchmarks.,Yes,Yes
P027,Denoising Diffusion Probabilistic Models (DDPM),Jonathan Ho|Ajay Jain|Pieter Abbeel,2020,NeurIPS,10.48550/arXiv.2006.11239,Generative Models,diffusion model|DDPM|score matching|image generation|denoising,UC Berkeley,USA,12000,P028|P006,NSF|DARPA,We present high quality image synthesis results using diffusion probabilistic models a class of latent variable models inspired by considerations from nonequilibrium thermodynamics.,Yes,Yes
P028,High-Resolution Image Synthesis with Latent Diffusion Models (Stable Diffusion),Robin Rombach|Andreas Blattmann|Dominik Lorenz|Patrick Esser|Björn Ommer,2022,CVPR,10.48550/arXiv.2112.10752,Generative Models,latent diffusion|stable diffusion|text-to-image|VQ-VAE|cross-attention,LMU Munich|Runway,Germany|USA,14000,P027|P006,DFG,We apply diffusion models in the latent space of powerful pretrained autoencoders achieving competitive performance on image inpainting outpainting and super-resolution.,Yes,Yes
P029,Highly Accurate Protein Structure Prediction with AlphaFold (AlphaFold2),John Jumper|Richard Evans|Alexander Pritzel|Tim Green|Michael Figurnov|Olaf Ronneberger|Kathryn Tunyasuvunakitr,2021,Nature,10.1038/s41586-021-03819-2,Bioinformatics,AlphaFold|protein structure|Evoformer|multiple sequence alignment,DeepMind,UK,25000,P001|P004,DeepMind,We describe AlphaFold2 which achieves unprecedented accuracy in protein structure prediction with a novel neural network architecture and training strategy.,No,Yes
P030,Toolformer: Language Models Can Teach Themselves to Use Tools,Timo Schick|Jane Dwivedi-Yu|Roberto Dessì|Roberta Raileanu|Maria Lomeli|Luke Zettlemoyer|Nicola Cancedda|Thomas Scialom,2023,NeurIPS,10.48550/arXiv.2302.04761,Natural Language Processing,tool use|API calls|self-supervised|language model augmentation,Meta AI|University of Washington,USA,3200,P003|P015,Meta AI Research,We introduce Toolformer a model trained to decide which APIs to call when to call them what arguments to pass and how to best incorporate results into future token prediction.,Yes,Yes
